Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInQPC,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartQPC,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080853298724,NA,16.41310000000000,16.63560000000000,0.12480000000000,32.83930000000000,49.0964,1080853135791,16.4181,16.2933,0.1248,32.4504,16.6822,0.5789,16.1033,0.3587,335.5705,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080853465447,NA,16.67230000000000,16.68680000000000,0.13240000000000,32.74290000000000,49.1109,1080853299972,16.6799,16.5475,0.1324,32.7145,16.5759,0.5182,16.0577,-0.2687,351.9886,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080853632832,NA,16.73850000000000,16.67450000000000,0.14240000000000,32.71230000000000,49.0469,1080853466771,16.7485,16.6061,0.1424,32.6105,16.7079,0.4854,16.2225,0.0054,368.6685,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080853799875,NA,16.70430000000000,16.66730000000000,0.13950000000000,32.70840000000000,49.0099,1080853634256,16.7014,16.5619,0.1395,32.5699,16.7004,0.5191,16.1813,0.0812,385.4170,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080853964996,NA,16.51210000000000,16.66620000000000,0.09900000000000,32.87620000000000,49.1640,1080853801270,16.4716,16.3726,0.0990,32.5689,16.6799,0.5137,16.1662,0.0352,402.1184,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080854131127,NA,16.61310000000000,16.66190000000000,0.15550000000000,32.89200000000000,49.2128,1080853965986,16.6696,16.5141,0.1555,32.7772,16.6289,0.5617,16.0672,-0.1903,418.5900,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080854298559,NA,16.74320000000000,16.66230000000000,0.14760000000000,32.84340000000000,49.1319,1080854132682,16.7353,16.5877,0.1476,32.7365,16.6946,0.5939,16.1007,0.0073,435.2596,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080854465475,NA,16.69160000000000,16.68080000000000,0.15640000000000,32.80870000000000,49.1211,1080854300035,16.7004,16.5440,0.1564,32.6958,16.6569,0.5570,16.0999,0.0545,451.9949,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080854632427,NA,16.69520000000000,16.66440000000000,0.14570000000000,32.82470000000000,49.0903,1080854467039,16.6845,16.5388,0.1457,32.6523,16.7112,0.6837,16.0275,0.0360,468.6953,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080854808069,NA,17.56420000000000,16.65510000000000,0.12480000000000,31.94210000000000,48.1812,1080854633884,17.5433,17.4185,0.1248,32.6790,16.6816,0.6540,16.0276,0.0294,485.3798,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080854976207,NA,16.81380000000000,16.70140000000000,0.14760000000000,31.92170000000000,48.0688,1080854809317,16.8366,16.6890,0.1476,31.8173,16.7934,0.8160,15.9774,0.8419,502.9231,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080855135037,NA,15.88300000000000,16.63240000000000,0.16710000000000,32.56160000000000,48.8182,1080854977683,15.9025,15.7354,0.1671,31.7741,16.5229,0.5528,15.9701,0.2042,519.7597,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080855300801,NA,16.57640000000000,16.65370000000000,0.17110000000000,32.58850000000000,48.8955,1080855136708,16.5804,16.4093,0.1711,32.3945,16.6033,0.5721,16.0312,-0.7512,535.6622,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080855465621,NA,16.48200000000000,16.68870000000000,0.13650000000000,32.73840000000000,49.1022,1080855302512,16.4474,16.3109,0.1365,32.4174,16.6319,0.5648,16.0671,-0.1083,552.2426,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080855632031,NA,16.64100000000000,16.64430000000000,0.15720000000000,32.80370000000000,49.1055,1080855466986,16.6617,16.5045,0.1572,32.6019,16.7063,0.5750,16.1313,-0.1969,568.6900,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080855798079,NA,16.60480000000000,16.70420000000000,0.13700000000000,32.80170000000000,49.2049,1080855633603,16.5846,16.4476,0.1370,32.6465,16.6028,0.7214,15.8814,-0.0425,585.3517,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080855963806,NA,16.57270000000000,16.65490000000000,0.13320000000000,32.98960000000000,49.2871,1080855799449,16.5689,16.4357,0.1332,32.6647,16.7606,0.7226,16.0380,-0.0703,601.9363,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080856131380,NA,16.75740000000000,16.65190000000000,0.14520000000000,32.87840000000000,49.1816,1080855965138,16.7694,16.6242,0.1452,32.8564,16.6462,0.5368,16.1094,-0.0830,618.5052,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080856298269,NA,16.68890000000000,16.69100000000000,0.13080000000000,32.84430000000000,49.1837,1080856132832,16.6745,16.5437,0.1308,32.7332,16.6548,0.7312,15.9236,0.0784,635.2746,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080856464820,NA,16.65510000000000,16.63610000000000,0.15090000000000,32.90610000000000,49.1647,1080856299577,16.6752,16.5243,0.1509,32.7135,16.7169,0.5786,16.1383,0.0384,651.9491,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080856630434,NA,16.56140000000000,16.66490000000000,0.15520000000000,32.92820000000000,49.2682,1080856466329,16.5657,16.4105,0.1552,32.7552,16.5835,0.8264,15.7571,0.0103,668.6243,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080856798411,NA,16.79770000000000,16.65710000000000,0.15390000000000,32.79100000000000,49.1276,1080856631986,16.7964,16.6425,0.1539,32.7730,16.6605,0.8990,15.7615,-0.0914,685.1900,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080856964579,NA,16.61680000000000,16.71380000000000,0.15740000000000,32.86780000000000,49.2246,1080856799950,16.6203,16.4629,0.1574,32.6371,16.6936,0.7088,15.9848,0.0826,701.9864,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080857130582,NA,16.60030000000000,16.62480000000000,0.12380000000000,32.97540000000000,49.2491,1080856966153,16.5667,16.4429,0.1238,32.7104,16.7079,0.6081,16.0998,-0.0045,718.6067,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080857297824,NA,16.72420000000000,16.69680000000000,0.13820000000000,32.83340000000000,49.2217,1080857131820,16.7386,16.6004,0.1382,32.8516,16.5822,0.4828,16.0994,-0.1301,735.1734,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080857465705,NA,16.78810000000000,16.63930000000000,0.15600000000000,32.78970000000000,49.0729,1080857299206,16.8059,16.6499,0.1560,32.6952,16.7444,0.5690,16.1754,0.0993,751.9120,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080857631322,NA,16.56170000000000,16.67060000000000,0.14750000000000,32.82720000000000,49.1818,1080857467265,16.5532,16.4057,0.1475,32.6337,16.5992,0.5589,16.0403,0.1353,768.7179,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080857799912,NA,16.85900000000000,16.68830000000000,0.15340000000000,32.67340000000000,49.0111,1080857632797,16.8649,16.7115,0.1534,32.6797,16.7052,0.5195,16.1857,-0.1351,785.2711,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080857964844,NA,16.49320000000000,16.69970000000000,0.10640000000000,32.90600000000000,49.2176,1080857801446,16.4462,16.3398,0.1064,32.5200,16.7258,0.5626,16.1632,0.1652,802.1360,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080858131425,NA,16.65810000000000,16.64110000000000,0.14170000000000,32.94710000000000,49.2006,1080857965908,16.6934,16.5517,0.1417,32.7996,16.6992,0.5545,16.1447,-0.1949,818.5822,NA,NA,NA
chrome.exe,24952,0x2F262AA7E40,DXGI,0,0,0,Hardware Composed: Independent Flip,1080858299293,NA,16.78680000000000,16.76200000000000,0.14640000000000,32.80120000000000,49.1758,1080858132842,16.7915,16.6451,0.1464,32.8054,16.6409,0.5710,16.0699,-0.0686,835.2756,NA,NA,NA
